"site_ID","coarse_scale","fine_scale","code_loc"
"SAM_A01","SAM4","SAM3","SAM"
"SAM_A02","SAM2","SAM5","SAM"
"SAM_B01","SAM4","SAM4","SAM"
"SAM_B02","SAM4","SAM1","SAM"
"SAM_B03","SAM1","SAM7","SAM"
"SAM_C02","SAM1","SAM8","SAM"
"SAM_C03","SAM1","SAM1","SAM"
"SAM_D01","SAM2","SAM2","SAM"
"SAM_D03","SAM3","SAM3","SAM"
"SAM_D04","SAM3","SAM9","SAM"
"SAM_E01","SAM3","SAM2","SAM"
"SAM_E02","SAM1","SAM8","SAM"
"SAM_E03","SAM3","SAM6","SAM"
"SAM_F02","SAM2","SAM6","SAM"
"KAR_A01","KAR1","KAR1","KAR"
"KAR_A02","KAR1","KAR2","KAR"
"KAR_B01","KAR1","KAR1","KAR"
"KAR_B02","KAR1","KAR2","KAR"
"KAR_B03","KAR2","KAR3","KAR"
"KAR_C02","KAR2","KAR4","KAR"
"KAR_C03","KAR2","KAR3","KAR"
"KAR_D01","KAR3","KAR5","KAR"
"KAR_D03","KAR4","KAR6","KAR"
"KAR_D04","KAR4","KAR7","KAR"
"KAR_E01","KAR3","KAR8","KAR"
"KAR_E02","KAR3","KAR8","KAR"
"KAR_E03","KAR4","KAR6","KAR"
"KAR_F02","KAR3","KAR9","KAR"
"KGA_A01","KGA1","KGA1","KGA"
"KGA_A02","KGA1","KGA1","KGA"
"KGA_A03","KGA1","KGA2","KGA"
"KGA_A04","KGA1","KGA2","KGA"
"KGA_A05","KGA2","KGA3","KGA"
"KGA_A06","KGA2","KGA3","KGA"
"KGA_A07","KGA2","KGA4","KGA"
"KGA_A08","KGA2","KGA4","KGA"
"KGA_A09","KGA3","KGA5","KGA"
"KGA_A10","KGA3","KGA5","KGA"
"KGA_A11","KGA3","KGA6","KGA"
"KGA_B01","KGA4","KGA7","KGA"
"KGA_B02","KGA4","KGA7","KGA"
"KGA_B03","KGA4","KGA8","KGA"
"KGA_B04","KGA4","KGA8","KGA"
"KGA_B05","KGA5","KGA9","KGA"
"KGA_B06","KGA5","KGA10","KGA"
"KGA_B07","KGA5","KGA10","KGA"
"KGA_B08","KGA6","KGA11","KGA"
