"site_ID","covariates","code_loc"
"SAM_A01","COVSAM1","SAM"
"SAM_A02","COVSAM2","SAM"
"SAM_B01","COVSAM1","SAM"
"SAM_B02","COVSAM1","SAM"
"SAM_B03","COVSAM1","SAM"
"SAM_C02","COVSAM1","SAM"
"SAM_C03","COVSAM3","SAM"
"SAM_D01","COVSAM1","SAM"
"SAM_D03","COVSAM4","SAM"
"SAM_D04","COVSAM1","SAM"
"SAM_E01","COVSAM1","SAM"
"SAM_E02","COVSAM5","SAM"
"SAM_E03","COVSAM1","SAM"
"SAM_F02","COVSAM3","SAM"
"KAR_A01","COVKAR1","KAR"
"KAR_A02","COVKAR2","KAR"
"KAR_B01","COVKAR1","KAR"
"KAR_B02","COVKAR1","KAR"
"KAR_B03","COVKAR1","KAR"
"KAR_C02","COVKAR1","KAR"
"KAR_C03","COVKAR3","KAR"
"KAR_D01","COVKAR1","KAR"
"KAR_D03","COVKAR4","KAR"
"KAR_D04","COVKAR1","KAR"
"KAR_E01","COVKAR1","KAR"
"KAR_E02","COVKAR5","KAR"
"KAR_E03","COVKAR1","KAR"
"KAR_F02","COVKAR3","KAR"
