"cluster","covariates","code_loc"
"SAM1","COVSAM1","SAM"
"SAM2","COVSAM2","SAM"
"SAM3","COVSAM2","SAM"
"SAM4","COVSAM3","SAM"
"KAR1","COVKAR1","KAR"
"KAR2","COVKAR2","KAR"
"KAR3","COVKAR2","KAR"
"KAR4","COVKAR3","KAR"
"KGA1","COVKGA1","KGA"
"KGA2","COVKGA2","KGA"
"KGA3","COVKGA2","KGA"
"KGA4","COVKGA3","KGA"
"KGA5","COVKGA4","KGA"
"KGA6","COVKGA1","KGA"
"MAD1","COVMAD1","MAD"
"MAD2","COVMAD1","MAD"
"MAD3","COVMAD2","MAD"
"MAD4","COVMAD3","MAD"
"MAD5","COVMAD3","MAD"
"MTZ1","COVMTZ1","MTZ"
"MTZ2","COVMTZ2","MTZ"
"MTZ3","COVMTZ2","MTZ"
"PLN1","COVPLN1","PLN"
"PLN2","COVPLN2","PLN"
"PLN3","COVPLN3","PLN"
"PLN4","COVPLN4","PLN"
"PLN5","COVPLN4","PLN"
"PLN6","COVPLN5","PLN"
"PLN7","COVPLN6","PLN"
"PLN8","COVPLN6","PLN"
