"code_loc","site_ID","DateTimeOriginal","question__species","question__count_median","capture_date_local","capture_time_local"
"KAR","KAR_D04","2017-10-06 13:56:55","eland",1,"2017-10-06","13:56:55"
"KAR","KAR_B01","2018-01-22 11:07:09","birdother",1,"2018-01-22","11:07:09"
"KAR","KAR_C02","2017-12-10 08:32:25","baboon",1,"2017-12-10","08:32:25"
"KAR","KAR_E01","2017-10-06 04:24:40","gemsbokoryx",1,"2017-10-06","04:24:40"
"KAR","KAR_D01","2017-12-06 09:38:14","gemsbokoryx",1,"2017-12-06","09:38:14"
"KAR","KAR_D01","2017-11-01 13:45:54","eland",2,"2017-11-01","13:45:54"
"KAR","KAR_A01","2017-11-01 11:24:13","steenbok",1,"2017-11-01","11:24:13"
"KAR","KAR_C03","2018-01-05 13:31:42","kudu",1,"2018-01-05","13:31:42"
"KAR","KAR_D03","2017-10-28 08:12:36","eland",1,"2017-10-28","08:12:36"
"KAR","KAR_D01","2017-12-22 07:22:34","hartebeestred",1,"2017-12-22","07:22:34"
"KAR","KAR_C02","2017-10-30 15:53:20","porcupine",1,"2017-10-30","15:53:20"
"KAR","KAR_D04","2018-01-28 13:49:25","baboon",1,"2018-01-28","13:49:25"
"KAR","KAR_B03","2017-12-30 21:10:44","baboon",1,"2017-12-30","21:10:44"
"KAR","KAR_B02","2018-01-05 23:40:00","jackalblackbacked",1,"2018-01-05","23:40:00"
"KAR","KAR_A02","2017-10-08 17:58:43","eland",1,"2017-10-08","17:58:43"
"KAR","KAR_C03","2018-01-06 19:40:13","baboon",1,"2018-01-06","19:40:13"
"KAR","KAR_E03","2017-10-21 19:30:53","duikercommon",1,"2017-10-21","19:30:53"
"KAR","KAR_B01","2018-01-31 23:03:29","hartebeestred",1,"2018-01-31","23:03:29"
"KAR","KAR_E03","2017-10-14 04:35:17","baboon",1,"2017-10-14","04:35:17"
"KAR","KAR_E01","2017-11-15 11:38:12","eland",1,"2017-11-15","11:38:12"
"KAR","KAR_B02","2017-10-23 21:45:27","zebramountain",1,"2017-10-23","21:45:27"
"KAR","KAR_B03","2018-01-09 05:51:10","gemsbokoryx",1,"2018-01-09","05:51:10"
"KAR","KAR_B02","2017-12-23 16:19:05","eland",1,"2017-12-23","16:19:05"
"KAR","KAR_E03","2017-12-05 23:56:39","jackalblackbacked",1,"2017-12-05","23:56:39"
"KAR","KAR_B03","2018-01-29 20:08:51","hartebeestred",1,"2018-01-29","20:08:51"
"KAR","KAR_E01","2017-10-29 01:33:20","steenbok",1,"2017-10-29","01:33:20"
"KAR","KAR_D03","2018-02-01 19:13:17","ostrich",1,"2018-02-01","19:13:17"
"KAR","KAR_D01","2017-10-26 12:45:55","eland",1,"2017-10-26","12:45:55"
"KAR","KAR_B03","2017-11-11 02:00:34","kudu",1,"2017-11-11","02:00:34"
"KAR","KAR_B02","2018-01-09 17:43:17","hartebeestred",4,"2018-01-09","17:43:17"
"KAR","KAR_B01","2018-01-23 21:12:41","kudu",2,"2018-01-23","21:12:41"
