spp_mysites,label,guild_realm,specif_guild,specif_guild2,specif_guild3,weight,Body_size_cat,Scientific_name,Common_name,scien_code,comm_code,Order,Family,IUCN_cat,W.Male,W.female,herd_size,water_dependance,gut_type
aardwolf,aardwolf,Carnivore,Scavenger omnivore,Scavenger omnivore,Medium carnivores,8.5,Medium,Proteles cristata,Aardwolf,PRCR,AWOL,Carnivora,Hyaenidae,LC,NA,NA,NA,NA,NA
baboon,baboon,Omnivore,Omnivore,Omnivore,Omnivores,22.25,Medium,Papio ursinus,Baboon (Chacma),PAUR,BACH,Primates,Cercopithecidae,LC,28.5,16,NA,NA,NA
blackfootedcat,black-footed cat,Carnivore,Small carnivore,Small carnivore,Small carnivores,1.675,Small,Felis nigripes,Cat (Black-Footed),FENI,CATB,Carnivora,Felidae,VU,2.05,1.3,NA,NA,NA
blesbok,blesbok,Herbivore,Variable Grazer,WDGr,Water-dependent grazers,62,Large,Damaliscus pygargus phillipsi,Blesbok,DAPY,BLES,Artiodactyla,Bovidae,LC,NA,NA,Gregarious,High,Ruminant
buffalo,buffalo,Herbivore,Variable Grazer,WDGr,Water-dependent grazers,600,Extra-large,Syncerus caffer,Buffalo (Savanna),SYCA,BUSA,Artiodactyla,Bovidae,NT,700,500,Mega-groups,High,Ruminant
bushbuck,bushbuck,Herbivore,Browser,SNSBr,Small nonsocial browsers,37.5,Medium,Tragelaphus scriptus,Bushbuck,TRSC,BUBU,Artiodactyla,Bovidae,LC,45,30,Solitary/pairs,Low,Ruminant
bushpig,bushpig,Omnivore,Omnivore,Omnivore,Omnivores,88,Large,Potamochoerus larvatus,Bushpig,POLA,BUPI,Cetartiodactyla,Suidae,LC,NA,NA,NA,NA,NA
caracal,caracal,Carnivore,Stalk and ambush,Stalk and ambush,Medium carnivores,13,Medium,Caracal caracal,Caracal,CACA,CARA,Carnivora,Felidae,LC,NA,NA,NA,NA,NA
cheetah,cheetah,Carnivore,Stalk and ambush,Stalk and ambush,Large carnivores,51,Large,Acinonyx jubatus,Cheetah,ACJU,CHEE,Carnivora,Felidae,VU,NA,NA,NA,NA,NA
civet,civet,Carnivore,Scavenger omnivore,Scavenger omnivore,Medium carnivores,12.5,Medium,Civettictis civetta,Civet (African),CICI,CIVE,Carnivora,Viverridae,LC,NA,NA,NA,NA,NA
duikercommon,duiker,Herbivore,Browser,SNSBr,Small nonsocial browsers,13,Medium,Sylvicapra grimmia,Duiker (Common),SYGR,DUCO,Artiodactyla,Bovidae,LC,18,21,Solitary/pairs,None,Ruminant
eland,eland,Herbivore,Browser-grazer intermediate,MSMix,Medium-sized social mixed diet,600,Extra-large,Taurotragus oryx,Eland,TAOR,ELAN,Artiodactyla,Bovidae,LC,750,450,NA,NA,NA
elephant,elephant,Herbivore,Browzer-grazer,Mega,Extra-large browsers,4275,Extra-large,Loxodonta africana,Elephant (African),LOAF,ELEA,Proboscidea,Elephantidae,VU,5250,3300,Gregarious,High,Non-ruminant
foxbateared,bat-eared fox,Carnivore,Small carnivore,Small carnivore,Small carnivores,4,Small,Otocyon megalotis,Fox (Bat-eared),OTME,FOXB,Carnivora,Canidae,LC,NA,NA,NA,NA,NA
foxcape,cape fox,Carnivore,Small carnivore,Small carnivore,Small carnivores,3.35,Small,Vulpes chama,Fox (Cape),VUCH,FOCA,Carnivora,Canidae,LC,NA,NA,NA,NA,NA
