"nrow","TN","FN","FP","TP","FNR"
141,76,11,2,2,0.846153846153846
142,76,7,2,6,0.538461538461538
142,74,10,4,3,0.769230769230769
141,78,10,0,3,0.769230769230769
140,76,11,2,2,0.846153846153846
142,75,8,3,5,0.615384615384615
140,78,11,0,2,0.846153846153846
140,76,11,2,2,0.846153846153846
141,73,9,5,4,0.692307692307692
142,76,10,2,3,0.769230769230769
142,75,12,3,1,0.923076923076923
142,74,12,4,1,0.923076923076923
141,73,11,5,2,0.846153846153846
142,75,13,3,0,1
140,75,11,3,2,0.846153846153846
141,75,9,3,4,0.692307692307692
140,76,11,2,2,0.846153846153846
139,77,13,1,0,1
141,74,10,4,3,0.769230769230769
139,77,9,1,4,0.692307692307692
