"nrow","TN","FN","FP","TP","FNR"
142,77,10,1,3,0.769230769230769
142,74,6,4,7,0.461538461538462
142,76,9,2,4,0.692307692307692
141,76,11,2,2,0.846153846153846
142,75,5,3,8,0.384615384615385
142,77,10,1,3,0.769230769230769
142,76,9,2,4,0.692307692307692
140,74,10,4,3,0.769230769230769
140,76,7,2,6,0.538461538461538
142,75,7,3,6,0.538461538461538
141,69,6,9,7,0.461538461538462
142,73,8,5,5,0.615384615384615
142,78,11,0,2,0.846153846153846
140,76,8,2,5,0.615384615384615
142,77,10,1,3,0.769230769230769
142,76,10,2,3,0.769230769230769
142,77,12,1,1,0.923076923076923
141,74,6,4,7,0.461538461538462
141,75,10,3,3,0.769230769230769
142,75,9,3,4,0.692307692307692
